colour	shade
white	white
white	pearl
white	alabaster
white	snow
white	ivory
white	cream
white	egg shell
white	cotton
white	chiffon
white	salt
white	lace
white	coconut
white	linen
white	bone
white	daisy
white	powder
white	frost
white	porcelain
white	parchment
white	rice
tan	tan
tan	beige
tan	macaroon
tan	hazel wood
tan	granola
tan	oat
tan	egg nog
tan	fawn
tan	sugar cookie
tan	sand
tan	sepia
tan	latte
tan	oyster
tan	biscotti
tan	parmesan
tan	hazelnut
tan	sandcastle
tan	buttermilk
tan	sand dollar
tan	shortbread
yellow	yellow
yellow	canary
yellow	gold
yellow	daffodil
yellow	flaxen
yellow	butter
yellow	lemon
yellow	mustard
yellow	corn
yellow	medallion
yellow	dandelion
yellow	fire
yellow	bumblebee
yellow	banana
yellow	butterscotch
yellow	dijon
yellow	honey
yellow	blonde
yellow	pineapple
yellow	tuscan sun
orange	orange
orange	tangerine
orange	marigold
orange	cider
orange	rust
orange	ginger
orange	tiger
orange	fire
orange	bronze
orange	cantaloupe
orange	apricot
orange	clay
orange	honey
orange	carrot
orange	squash
orange	spice
orange	marmalade
orange	amber
orange	sandstone
orange	yam
red	red
red	cherry
red	rose
red	jam
red	merlot
red	garnet
red	crimson
red	ruby
red	scarlet
red	wine
red	brick
red	apple
red	mahogany
red	blood
red	sangria
red	berry
red	currant
red	blush
red	candy
red	lipstick
pink	pink
pink	rose
pink	fuchsia
pink	punch
pink	blush
pink	watermelon
pink	flamingo
pink	rouge
pink	salmon
pink	coral
pink	peach
pink	strawberry
pink	rosewood
pink	lemonade
pink	taffy
pink	bubblegum
pink	ballet slipper
pink	crepe
pink	magenta
pink	hot pink
purple	purple
purple	mauve
purple	violet
purple	boysenberry
purple	lavender
purple	plum
purple	magenta
purple	lilac
purple	grape
purple	periwinkle
purple	singria
purple	eggplant
purple	jam
purple	iris
purple	heather
purple	amethyst
purple	raisin
purple	orchid
purple	mulberry
purple	wine
blue	blue
blue	slate
blue	sky
blue	navy
blue	indigo
blue	cobalt
blue	teal
blue	ocean
blue	peacock
blue	azure
blue	cerulean
blue	lapis
blue	spruce
blue	stone
blue	aegean
blue	berry
blue	denim
blue	admiral
blue	sapphire
blue	arctic
green	green
green	chartreuse
green	juniper
green	sage
green	lime
green	fern
green	olive
green	emerald
green	pear
green	moss
green	shamrock
green	seafoam
green	pine
green	parakeet
green	mint
green	seaweed
green	pickle
green	pistachio
green	basil
green	crocodile
brown	brown
brown	coffee
brown	mocha
brown	peanut
brown	carob
brown	hickory
brown	wood
brown	pecan
brown	walnut
brown	caramel
brown	gingerbread
brown	syrup
brown	chocolate
brown	tortilla
brown	umber
brown	tawny
brown	brunette
brown	cinnamon
brown	penny
brown	cedar
grey	grey
grey	shadow
grey	graphite
grey	iron
grey	pewter
grey	cloud
grey	silver
grey	smoke
grey	slate
grey	anchor
grey	ash
grey	porpoise
grey	dove
grey	fog
grey	flint
grey	charcoal
grey	pebble
grey	lead
grey	coin
grey	fossil
black	black
black	ebony
black	crow
black	charcoal
black	midnight
black	ink
black	raven
black	oil
black	grease
black	onyx
black	pitch
black	soot
black	sable
black	jet black
black	coal
black	metal
black	obsidian
black	jade
black	spider
black	leather
